"Name","optimizer","batch_size","activation_function","epochs","hidden_layers","learning_rate","train_loss","val_loss","MAE","RMSE","R_squared","Runtime","Sweep","method","metric.goal","metric.name","parameters.activation_functions","parameters.batch_sizes","parameters.epochss","parameters.hidden_layerss","parameters.learning_rates","parameters.optimizers","parameters.activation_function.values","parameters.batch_size.values","parameters.epochs.values","parameters.hidden_layers.values","parameters.learning_rate.values","parameters.optimizer.values"
"blooming-sweep-6","sgd","32","tanh","150","[64,16]","0.005","19.05285132937555","18.60200893531357","3.0211656277090255","4.313004629642029","0.7767150449465656","8","sgd-sweep","","","","","","","","","","","","","","",""
"firm-sweep-5","sgd","32","tanh","150","[64,16]","0.001","6.751427143668956","10.108995910466055","2.5333738094062066","3.179464720745625","0.8786589821909622","7","sgd-sweep","","","","","","","","","","","","","","",""
"dark-sweep-4","sgd","32","sigmoid","150","[64,16]","0.005","7.765822489322448","9.12360285665158","2.254491781991933","3.0205302277334654","0.8904869220922942","9","sgd-sweep","","","","","","","","","","","","","","",""
"classic-sweep-3","sgd","32","sigmoid","150","[64,16]","0.001","12.5906546664696","9.700602401202044","2.4141973357746864","3.1145790086626546","0.8835610401717547","9","sgd-sweep","","","","","","","","","","","","","","",""
"ethereal-sweep-2","sgd","32","relu","150","[64,16]","0.005","19.664550482647346","17.969933140116957","3.3389220939057953","4.2390957927507324","0.7843020220312242","8","sgd-sweep","","","","","","","","","","","","","","",""
"likely-sweep-1","sgd","32","relu","150","[64,16]","0.001","8.918270414068585","10.032339277802233","2.568731876514154","3.167386821624765","0.8795791125294868","7","sgd-sweep","","","","","","","","","","","","","","",""
