"Name","optimizer","f1_score","precision","recall","train_accuracy","train_loss","val_accuracy","val_loss","activation_function","batch_size","epochs","hidden_layers","learning_rate","method","metric.goal","metric.name","parameters.activation_functions","parameters.batch_sizes","parameters.epochss","parameters.hidden_layerss","parameters.learning_rates","parameters.optimizers"
"cool-sweep-16","mini-batch-gd","0.01712737276647051","0.01712737276647051","0.015629614862071","0.6028446389496718","0.8890607751584995","0.6403508771929824","0.9813819961327587","linear","64","1500","[64,16]","0.01","","","","","","","","",""
"dutiful-sweep-15","mini-batch-gd","0.017306391742481966","0.017306391742481966","0.015951916829109812","0.5995623632385121","0.8930742180524225","0.6491228070175439","0.9788576966254164","linear","64","1500","[64,16]","0.008","","","","","","","","",""
"sage-sweep-14","mini-batch-gd","0.016916528194723682","0.016916528194723682","0.015456775281967957","0.5995623632385121","0.8855828086787215","0.631578947368421","0.9794094807861906","linear","32","1500","[64,16]","0.01","","","","","","","","",""
"fragrant-sweep-13","mini-batch-gd","0.01709554717073514","0.01709554717073514","0.01577872377020984","0.5984682713347921","0.8871956293691632","0.6403508771929824","0.9706059063571397","linear","32","1500","[64,16]","0.008","","","","","","","","",""
"sage-sweep-12","mini-batch-gd","0.013794865674564921","0.013794865674564921","0.015343182517697751","0.5733041575492341","0.9950938996184155","0.6228070175438597","1.027376290456279","sigmoid","64","1500","[64,16]","0.01","","","","","","","","",""
"distinctive-sweep-11","mini-batch-gd","0.012956995663762582","0.012956995663762582","0.010605763789125418","0.563457330415755","1.0280158278954186","0.6052631578947368","1.052399150957079","sigmoid","64","1500","[64,16]","0.008","","","","","","","","",""
"driven-sweep-10","mini-batch-gd","0.015266187446638576","0.015266187446638576","0.014811066126855598","0.6039387308533917","0.9609737799290717","0.6228070175438597","0.9871462319506826","sigmoid","32","1500","[64,16]","0.01","","","","","","","","",""
"apricot-sweep-9","mini-batch-gd","0.015640138196529173","0.015640138196529173","0.015420546205054647","0.5919037199124726","0.9676599040397458","0.6403508771929824","0.9991652275918701","sigmoid","32","1500","[64,16]","0.008","","","","","","","","",""
"serene-sweep-8","mini-batch-gd","0.017648516896637195","0.017648516896637195","0.01619002864303616","0.6487964989059081","0.8353930515308794","0.6666666666666666","0.9209083853160928","relu","64","1500","[64,16]","0.01","","","","","","","","",""
"hardy-sweep-7","mini-batch-gd","0.017453585122758054","0.017453585122758054","0.0160233918128655","0.62472647702407","0.8641156306671233","0.6578947368421053","0.9228074028977342","relu","64","1500","[64,16]","0.008","","","","","","","","",""
"stellar-sweep-6","mini-batch-gd","0.01920888913370116","0.01920888913370116","0.016912546517809678","0.6652078774617067","0.7819307814134928","0.6929824561403509","0.9070205504483831","relu","32","1500","[64,16]","0.01","","","","","","","","",""
"glad-sweep-5","mini-batch-gd","0.017997068373008223","0.017997068373008223","0.01612828367214332","0.6794310722100656","0.7814539504094159","0.6578947368421053","0.9528242168763371","relu","32","1500","[64,16]","0.008","","","","","","","","",""
"glamorous-sweep-4","mini-batch-gd","0.017485410718493424","0.017485410718493424","0.015990802675585284","0.6159737417943107","0.8720471396037494","0.6578947368421053","0.9284010841742408","tanh","64","1500","[64,16]","0.01","","","","","","","","",""
"helpful-sweep-3","mini-batch-gd","0.016916528194723682","0.016916528194723682","0.015456775281967957","0.6170678336980306","0.8821763841326846","0.631578947368421","0.9622494809837685","tanh","64","1500","[64,16]","0.008","","","","","","","","",""
"polished-sweep-2","mini-batch-gd","0.017664429694504883","0.017664429694504883","0.01617690058479532","0.6280087527352297","0.8381578978393873","0.6666666666666666","0.9398846671212011","tanh","32","1500","[64,16]","0.01","","","","","","","","",""
"morning-sweep-1","mini-batch-gd","0.016526664646965398","0.016526664646965398","0.015013242138960848","0.6356673960612691","0.8494314897245433","0.6140350877192983","0.9087159909633845","tanh","32","1500","[64,16]","0.008","","","","","","","","",""
